GEO_ID,Total Population,White Population,Black Population,American Indian Population,Asian Population,Native Hawaiian and Other Pacific Islander Population,Hispanic or Latino Population,Some other race,Year
371190030151,1545,1349,19,0,48,0,44,85,2020
371190030152,2472,1840,369,0,10,0,234,19,2020
371190030153,1643,1400,25,10,208,0,0,0,2020
371190030161,2191,1268,248,0,519,0,85,71,2020
371190030162,896,797,11,0,56,0,0,32,2020
371190030163,1780,712,59,0,810,0,88,111,2020
371190030171,1480,1119,197,0,0,0,164,0,2020
371190030172,2399,2070,94,0,115,0,37,83,2020
371190030181,2694,2106,353,0,122,0,84,29,2020
371190030191,882,835,0,0,47,0,0,0,2020
371190030192,985,728,97,0,0,0,80,80,2020
371190030201,1699,1490,50,0,88,0,71,0,2020
371190030202,2148,1879,234,0,0,0,35,0,2020
371190030203,1006,987,0,0,0,0,0,19,2020
371190030211,1387,1107,0,0,91,0,99,90,2020
371190030212,1722,1475,140,0,64,0,43,0,2020
371190030221,1568,1291,98,0,122,0,0,57,2020
371190030222,814,757,0,0,0,0,57,0,2020
371190030223,1761,1471,24,0,98,0,30,138,2020
371190031021,2225,1629,158,150,170,0,53,65,2020
371190031022,991,841,0,0,0,0,150,0,2020
371190031023,1283,100,359,0,41,0,684,99,2020
371190031051,1358,1269,7,0,4,0,11,67,2020
371190031052,2591,2287,70,0,26,0,208,0,2020
371190031061,2926,990,182,0,62,0,1644,48,2020
371190031062,1888,1108,478,11,133,0,124,34,2020
371190031081,1554,229,621,22,0,0,663,19,2020
371190031082,2309,863,176,10,48,0,1198,14,2020
371190031091,2595,333,1054,0,48,0,1117,43,2020
371190031092,1647,166,450,0,30,0,986,15,2020
371190031101,2177,1753,0,0,34,0,272,118,2020
371190031111,1784,1500,75,0,0,0,209,0,2020
371190031112,640,566,0,0,0,0,74,0,2020
371190031113,741,583,0,0,74,0,84,0,2020
371190032011,1348,961,18,0,0,0,369,0,2020
371190032012,1619,963,303,12,20,0,278,43,2020
371190032031,1902,1265,306,0,70,0,168,93,2020
371190032032,725,516,85,0,10,0,88,26,2020
371190032041,867,750,0,0,12,0,85,20,2020
371190032042,1550,1115,265,0,29,0,106,35,2020
371190032043,919,789,0,0,18,0,77,35,2020
371190033011,404,357,9,0,0,0,0,38,2020
371190033012,688,610,48,0,0,0,30,0,2020
371190033021,1657,1469,67,0,40,0,14,67,2020
371190033022,1055,683,62,0,13,0,248,49,2020
371190034011,565,433,8,0,0,0,124,0,2020
371190034012,1089,781,31,0,9,0,240,28,2020
371190034021,1538,1368,15,0,40,0,115,0,2020
371190034022,1064,941,20,5,15,0,2,81,2020
371190034023,1594,1489,0,0,72,0,0,33,2020
371190035001,1513,1396,19,0,52,0,12,34,2020
371190035002,1168,973,10,0,71,0,37,77,2020
371190036001,1176,733,245,32,10,0,76,80,2020
371190036002,913,617,185,0,49,0,54,8,2020
371190036003,970,44,731,0,0,0,195,0,2020
371190036004,770,115,446,0,0,0,209,0,2020
371190037011,1277,1163,35,0,46,0,10,23,2020
371190037012,445,0,445,0,0,0,0,0,2020
371190037021,1160,1067,41,0,0,0,25,27,2020
371190037022,1176,0,1069,0,0,0,107,0,2020
371190038021,1038,0,849,0,64,0,125,0,2020
371190038022,2058,8,1854,0,0,0,171,25,2020
371190038023,91,53,35,2,0,0,1,0,2020
371190038051,757,429,146,0,74,0,14,94,2020
371190038052,3079,968,567,4,921,0,542,77,2020
371190038071,1794,174,577,0,173,0,855,15,2020
371190038072,3008,307,1431,0,0,0,1223,47,2020
371190038081,1996,19,385,0,0,0,1592,0,2020
371190038082,778,87,41,2,0,0,648,0,2020
371190038083,4456,202,1660,12,77,0,2495,10,2020
371190038091,938,427,117,0,24,0,370,0,2020
371190038092,2351,277,1727,0,250,0,64,33,2020
371190038101,1834,126,376,0,0,0,1332,0,2020
371190038102,3037,400,1045,0,982,0,610,0,2020
371190038111,2113,261,1248,0,0,0,520,84,2020
371190039021,1303,97,731,0,146,0,232,97,2020
371190039022,1507,59,1402,0,0,0,46,0,2020
371190039023,823,47,776,0,0,0,0,0,2020
371190039024,1439,55,1080,0,47,0,107,150,2020
371190039031,765,8,639,0,18,0,100,0,2020
371190039032,1144,84,751,0,129,0,180,0,2020
371190040001,819,58,729,12,0,0,20,0,2020
371190040002,870,109,421,0,176,0,122,42,2020
371190040003,1875,218,1296,33,148,0,119,61,2020
371190040004,1238,268,814,0,0,0,51,105,2020
371190041011,964,495,249,0,6,0,214,0,2020
371190041012,457,53,396,0,0,0,0,8,2020
