"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US371190010001","Block Group 1; Census Tract 10; Mecklenburg County; North Carolina","1153","268","1099","268","986","243","0","14","0","14","42","55","0","14","49","57","22","35","0","14","22","35","54","63","0","14","0","14","0","14","0","14","0","14","36","57","18","28","18","28","0","14",
"1500000US371190010002","Block Group 2; Census Tract 10; Mecklenburg County; North Carolina","492","127","492","127","419","122","17","21","0","14","0","14","0","14","0","14","56","58","36","53","20","24","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US371190010003","Block Group 3; Census Tract 10; Mecklenburg County; North Carolina","1655","361","1558","357","1132","209","245","254","7","13","74","59","0","14","26","39","74","40","0","14","74","40","97","105","56","84","0","14","0","14","0","14","0","14","10","14","31","32","31","32","0","14",
"1500000US371190011001","Block Group 1; Census Tract 11; Mecklenburg County; North Carolina","1565","410","1469","413","1332","343","9","13","0","14","110","160","0","14","0","14","18","27","0","14","18","27","96","67","25","19","0","14","0","14","0","14","0","14","44","58","27","25","27","25","0","14",
"1500000US371190011002","Block Group 2; Census Tract 11; Mecklenburg County; North Carolina","271","97","253","96","248","95","0","14","0","14","0","14","0","14","0","14","5","7","5","7","0","14","18","27","18","27","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US371190011003","Block Group 3; Census Tract 11; Mecklenburg County; North Carolina","1648","534","1637","541","1370","513","217","172","0","14","0","14","0","14","0","14","50","48","0","14","50","48","11","18","11","18","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US371190012001","Block Group 1; Census Tract 12; Mecklenburg County; North Carolina","1974","599","901","380","316","145","556","363","0","14","0","14","0","14","16","26","13","20","0","14","13","20","1073","523","0","14","0","14","28","54","0","14","0","14","581","435","464","481","464","481","0","14",
"1500000US371190012002","Block Group 2; Census Tract 12; Mecklenburg County; North Carolina","1175","477","1130","473","487","248","538","411","0","14","8","13","0","14","0","14","97","106","61","97","36","37","45","52","0","14","0","14","0","14","0","14","0","14","31","47","14","24","14","24","0","14",
"1500000US371190012003","Block Group 3; Census Tract 12; Mecklenburg County; North Carolina","1997","371","1918","350","1722","285","11","23","0","14","139","167","0","14","0","14","46","69","0","14","46","69","79","110","31","46","0","14","0","14","0","14","0","14","0","14","48","91","24","79","24","29",
"1500000US371190013001","Block Group 1; Census Tract 13; Mecklenburg County; North Carolina","2431","450","1989","383","1031","313","863","289","0","14","34","61","0","14","0","14","61","55","0","14","61","55","442","316","88","65","0","14","0","14","0","14","0","14","354","300","0","14","0","14","0","14",
"1500000US371190013002","Block Group 2; Census Tract 13; Mecklenburg County; North Carolina","1055","269","945","236","394","167","458","214","0","14","24","27","0","14","21","33","48","63","8","13","40","61","110","126","0","14","0","14","0","14","0","14","0","14","10","16","100","126","100","126","0","14",
"1500000US371190013003","Block Group 3; Census Tract 13; Mecklenburg County; North Carolina","593","216","593","216","365","189","126","69","0","14","65","69","0","14","27","40","10","16","0","14","10","16","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US371190014001","Block Group 1; Census Tract 14; Mecklenburg County; North Carolina","1819","370","1663","359","921","240","510","271","15","24","39","36","0","14","0","14","178","156","0","14","178","156","156","97","15","18","27","42","47","71","0","14","0","14","39","40","28","34","28","34","0","14",
